codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
14290,47.99A,16,49.05,0.333333
14290,47.99A,16,49.066667,0.316667
14290,47.99A,16,"",""
14290,47.99A,16,49.083333,0.333333
14290,47.99A,16,49.05,0.3
14290,47.99A,16,"",""
14290,47.99A,16,"",""
14290,47.99A,16,48.983333,0.333333
14290,47.99A,16,49.016667,0.416667
14290,47.99A,16,48.983333,0.433333
14290,47.99A,16,49.066667,0.333333
14290,47.99A,16,49,0.383333
14290,47.99A,16,48.966667,0.35
14290,47.99A,16,"",""
14290,47.99A,16,49,0.366667
14290,47.99A,16,49.016667,0.333333
14290,45.3H,16,49.05,0.333333
14290,45.3H,16,49.066667,0.316667
14290,45.3H,16,"",""
14290,45.3H,16,49.083333,0.333333
14290,45.3H,16,49.05,0.3
14290,45.3H,16,"",""
14290,45.3H,16,"",""
14290,45.3H,16,48.983333,0.333333
14290,45.3H,16,49.016667,0.416667
14290,45.3H,16,48.983333,0.433333
14290,45.3H,16,49.066667,0.333333
14290,45.3H,16,49,0.383333
14290,45.3H,16,48.966667,0.35
14290,45.3H,16,"",""
14290,45.3H,16,49,0.366667
14290,45.3H,16,49.016667,0.333333
14290,43.22A,32,49.05,0.333333
14290,43.22A,32,49.066667,0.316667
14290,43.22A,32,"",""
14290,43.22A,32,49.083333,0.333333
14290,43.22A,32,49.05,0.3
14290,43.22A,32,"",""
14290,43.22A,32,"",""
14290,43.22A,32,48.983333,0.333333
14290,43.22A,32,49.016667,0.416667
14290,43.22A,32,48.983333,0.433333
14290,43.22A,32,49.066667,0.333333
14290,43.22A,32,49,0.383333
14290,43.22A,32,48.966667,0.35
14290,43.22A,32,"",""
14290,43.22A,32,49,0.366667
14290,43.22A,32,49.016667,0.333333
14290,41.10A,16,49.05,0.333333
14290,41.10A,16,49.066667,0.316667
14290,41.10A,16,"",""
14290,41.10A,16,49.083333,0.333333
14290,41.10A,16,49.05,0.3
14290,41.10A,16,"",""
14290,41.10A,16,"",""
14290,41.10A,16,48.983333,0.333333
14290,41.10A,16,49.016667,0.416667
14290,41.10A,16,48.983333,0.433333
14290,41.10A,16,49.066667,0.333333
14290,41.10A,16,49,0.383333
14290,41.10A,16,48.966667,0.35
14290,41.10A,16,"",""
14290,41.10A,16,49,0.366667
14290,41.10A,16,49.016667,0.333333
14290,01.11Z,96,49.05,0.333333
14290,01.11Z,96,49.066667,0.316667
14290,01.11Z,96,"",""
14290,01.11Z,96,49.083333,0.333333
14290,01.11Z,96,49.05,0.3
14290,01.11Z,96,"",""
14290,01.11Z,96,"",""
14290,01.11Z,96,48.983333,0.333333
14290,01.11Z,96,49.016667,0.416667
14290,01.11Z,96,48.983333,0.433333
14290,01.11Z,96,49.066667,0.333333
14290,01.11Z,96,49,0.383333
14290,01.11Z,96,48.966667,0.35
14290,01.11Z,96,"",""
14290,01.11Z,96,49,0.366667
14290,01.11Z,96,49.016667,0.333333
14290,49.41A,32,49.05,0.333333
14290,49.41A,32,49.066667,0.316667
14290,49.41A,32,"",""
14290,49.41A,32,49.083333,0.333333
14290,49.41A,32,49.05,0.3
14290,49.41A,32,"",""
14290,49.41A,32,"",""
14290,49.41A,32,48.983333,0.333333
14290,49.41A,32,49.016667,0.416667
14290,49.41A,32,48.983333,0.433333
14290,49.41A,32,49.066667,0.333333
14290,49.41A,32,49,0.383333
14290,49.41A,32,48.966667,0.35
14290,49.41A,32,"",""
14290,49.41A,32,49,0.366667
14290,49.41A,32,49.016667,0.333333
14290,23.99Z,16,49.05,0.333333
14290,23.99Z,16,49.066667,0.316667
14290,23.99Z,16,"",""
14290,23.99Z,16,49.083333,0.333333
14290,23.99Z,16,49.05,0.3
14290,23.99Z,16,"",""
14290,23.99Z,16,"",""
14290,23.99Z,16,48.983333,0.333333
14290,23.99Z,16,49.016667,0.416667
14290,23.99Z,16,48.983333,0.433333
14290,23.99Z,16,49.066667,0.333333
14290,23.99Z,16,49,0.383333
14290,23.99Z,16,48.966667,0.35
14290,23.99Z,16,"",""
14290,23.99Z,16,49,0.366667
14290,23.99Z,16,49.016667,0.333333
14290,68.20A,64,49.05,0.333333
14290,68.20A,64,49.066667,0.316667
14290,68.20A,64,"",""
14290,68.20A,64,49.083333,0.333333
14290,68.20A,64,49.05,0.3
14290,68.20A,64,"",""
14290,68.20A,64,"",""
14290,68.20A,64,48.983333,0.333333
14290,68.20A,64,49.016667,0.416667
14290,68.20A,64,48.983333,0.433333
14290,68.20A,64,49.066667,0.333333
14290,68.20A,64,49,0.383333
14290,68.20A,64,48.966667,0.35
14290,68.20A,64,"",""
14290,68.20A,64,49,0.366667
14290,68.20A,64,49.016667,0.333333
14290,64.49,16,49.05,0.333333
14290,64.49,16,49.066667,0.316667
14290,64.49,16,"",""
14290,64.49,16,49.083333,0.333333
14290,64.49,16,49.05,0.3
14290,64.49,16,"",""
14290,64.49,16,"",""
14290,64.49,16,48.983333,0.333333
14290,64.49,16,49.016667,0.416667
14290,64.49,16,48.983333,0.433333
14290,64.49,16,49.066667,0.333333
14290,64.49,16,49,0.383333
14290,64.49,16,48.966667,0.35
14290,64.49,16,"",""
14290,64.49,16,49,0.366667
14290,64.49,16,49.016667,0.333333
14290,45.3E,16,49.05,0.333333
14290,45.3E,16,49.066667,0.316667
14290,45.3E,16,"",""
14290,45.3E,16,49.083333,0.333333
14290,45.3E,16,49.05,0.3
14290,45.3E,16,"",""
14290,45.3E,16,"",""
14290,45.3E,16,48.983333,0.333333
14290,45.3E,16,49.016667,0.416667
14290,45.3E,16,48.983333,0.433333
14290,45.3E,16,49.066667,0.333333
14290,45.3E,16,49,0.383333
14290,45.3E,16,48.966667,0.35
14290,45.3E,16,"",""
14290,45.3E,16,49,0.366667
14290,45.3E,16,49.016667,0.333333
14290,55.60,64,49.05,0.333333
14290,55.60,64,49.066667,0.316667
14290,55.60,64,"",""
14290,55.60,64,49.083333,0.333333
14290,55.60,64,49.05,0.3
14290,55.60,64,"",""
14290,55.60,64,"",""
14290,55.60,64,48.983333,0.333333
14290,55.60,64,49.016667,0.416667
14290,55.60,64,48.983333,0.433333
14290,55.60,64,49.066667,0.333333
14290,55.60,64,49,0.383333
14290,55.60,64,48.966667,0.35
14290,55.60,64,"",""
14290,55.60,64,49,0.366667
14290,55.60,64,49.016667,0.333333
14290,95.11Z,16,49.05,0.333333
14290,95.11Z,16,49.066667,0.316667
14290,95.11Z,16,"",""
14290,95.11Z,16,49.083333,0.333333
14290,95.11Z,16,49.05,0.3
14290,95.11Z,16,"",""
14290,95.11Z,16,"",""
14290,95.11Z,16,48.983333,0.333333
14290,95.11Z,16,49.016667,0.416667
14290,95.11Z,16,48.983333,0.433333
14290,95.11Z,16,49.066667,0.333333
14290,95.11Z,16,49,0.383333
14290,95.11Z,16,48.966667,0.35
14290,95.11Z,16,"",""
14290,95.11Z,16,49,0.366667
14290,95.11Z,16,49.016667,0.333333
14290,43.34Z,48,49.05,0.333333
14290,43.34Z,48,49.066667,0.316667
14290,43.34Z,48,"",""
14290,43.34Z,48,49.083333,0.333333
14290,43.34Z,48,49.05,0.3
14290,43.34Z,48,"",""
14290,43.34Z,48,"",""
14290,43.34Z,48,48.983333,0.333333
14290,43.34Z,48,49.016667,0.416667
14290,43.34Z,48,48.983333,0.433333
14290,43.34Z,48,49.066667,0.333333
14290,43.34Z,48,49,0.383333
14290,43.34Z,48,48.966667,0.35
14290,43.34Z,48,"",""
14290,43.34Z,48,49,0.366667
14290,43.34Z,48,49.016667,0.333333
14290,64.20Z,16,49.05,0.333333
14290,64.20Z,16,49.066667,0.316667
14290,64.20Z,16,"",""
14290,64.20Z,16,49.083333,0.333333
14290,64.20Z,16,49.05,0.3
14290,64.20Z,16,"",""
14290,64.20Z,16,"",""
14290,64.20Z,16,48.983333,0.333333
14290,64.20Z,16,49.016667,0.416667
14290,64.20Z,16,48.983333,0.433333
14290,64.20Z,16,49.066667,0.333333
14290,64.20Z,16,49,0.383333
14290,64.20Z,16,48.966667,0.35
14290,64.20Z,16,"",""
14290,64.20Z,16,49,0.366667
14290,64.20Z,16,49.016667,0.333333
14290,01.43Z,32,49.05,0.333333
14290,01.43Z,32,49.066667,0.316667
14290,01.43Z,32,"",""
14290,01.43Z,32,49.083333,0.333333
14290,01.43Z,32,49.05,0.3
14290,01.43Z,32,"",""
14290,01.43Z,32,"",""
14290,01.43Z,32,48.983333,0.333333
14290,01.43Z,32,49.016667,0.416667
14290,01.43Z,32,48.983333,0.433333
14290,01.43Z,32,49.066667,0.333333
14290,01.43Z,32,49,0.383333
14290,01.43Z,32,48.966667,0.35
14290,01.43Z,32,"",""
14290,01.43Z,32,49,0.366667
14290,01.43Z,32,49.016667,0.333333
14290,03.22Z,32,49.05,0.333333
