codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
64490,47.99A,12,42.875,-0.558333
64490,47.99A,12,43.05,-0.6
64490,47.99A,12,43,-0.616667
64490,47.99A,12,42.933333,-0.591667
64490,47.99A,12,42.975,-0.616667
64490,47.99A,12,42.908333,-0.575
64490,47.99A,12,43.083333,-0.6
64490,47.99A,12,42.933333,-0.591667
64490,47.99A,12,42.908333,-0.575
64490,47.99A,12,43,-0.6
64490,47.99A,12,43,-0.533333
64490,47.99A,12,42.983333,-0.6
64490,43.22A,12,42.875,-0.558333
64490,43.22A,12,43.05,-0.6
64490,43.22A,12,43,-0.616667
64490,43.22A,12,42.933333,-0.591667
64490,43.22A,12,42.975,-0.616667
64490,43.22A,12,42.908333,-0.575
64490,43.22A,12,43.083333,-0.6
64490,43.22A,12,42.933333,-0.591667
64490,43.22A,12,42.908333,-0.575
64490,43.22A,12,43,-0.6
64490,43.22A,12,43,-0.533333
64490,43.22A,12,42.983333,-0.6
64490,14.39Z,12,42.875,-0.558333
64490,14.39Z,12,43.05,-0.6
64490,14.39Z,12,43,-0.616667
64490,14.39Z,12,42.933333,-0.591667
64490,14.39Z,12,42.975,-0.616667
64490,14.39Z,12,42.908333,-0.575
64490,14.39Z,12,43.083333,-0.6
64490,14.39Z,12,42.933333,-0.591667
64490,14.39Z,12,42.908333,-0.575
64490,14.39Z,12,43,-0.6
64490,14.39Z,12,43,-0.533333
64490,14.39Z,12,42.983333,-0.6
64490,00.97,24,42.875,-0.558333
64490,00.97,24,43.05,-0.6
64490,00.97,24,43,-0.616667
64490,00.97,24,42.933333,-0.591667
64490,00.97,24,42.975,-0.616667
64490,00.97,24,42.908333,-0.575
64490,00.97,24,43.083333,-0.6
64490,00.97,24,42.933333,-0.591667
64490,00.97,24,42.908333,-0.575
64490,00.97,24,43,-0.6
64490,00.97,24,43,-0.533333
64490,00.97,24,42.983333,-0.6
64490,01.11Z,60,42.875,-0.558333
64490,01.11Z,60,43.05,-0.6
64490,01.11Z,60,43,-0.616667
64490,01.11Z,60,42.933333,-0.591667
64490,01.11Z,60,42.975,-0.616667
64490,01.11Z,60,42.908333,-0.575
64490,01.11Z,60,43.083333,-0.6
64490,01.11Z,60,42.933333,-0.591667
64490,01.11Z,60,42.908333,-0.575
64490,01.11Z,60,43,-0.6
64490,01.11Z,60,43,-0.533333
64490,01.11Z,60,42.983333,-0.6
64490,95.29Z,24,42.875,-0.558333
64490,95.29Z,24,43.05,-0.6
64490,95.29Z,24,43,-0.616667
64490,95.29Z,24,42.933333,-0.591667
64490,95.29Z,24,42.975,-0.616667
64490,95.29Z,24,42.908333,-0.575
64490,95.29Z,24,43.083333,-0.6
64490,95.29Z,24,42.933333,-0.591667
64490,95.29Z,24,42.908333,-0.575
64490,95.29Z,24,43,-0.6
64490,95.29Z,24,43,-0.533333
64490,95.29Z,24,42.983333,-0.6
64490,68.20A,96,42.875,-0.558333
64490,68.20A,96,43.05,-0.6
64490,68.20A,96,43,-0.616667
64490,68.20A,96,42.933333,-0.591667
64490,68.20A,96,42.975,-0.616667
64490,68.20A,96,42.908333,-0.575
64490,68.20A,96,43.083333,-0.6
64490,68.20A,96,42.933333,-0.591667
64490,68.20A,96,42.908333,-0.575
64490,68.20A,96,43,-0.6
64490,68.20A,96,43,-0.533333
64490,68.20A,96,42.983333,-0.6
64490,45.3E,24,42.875,-0.558333
64490,45.3E,24,43.05,-0.6
64490,45.3E,24,43,-0.616667
64490,45.3E,24,42.933333,-0.591667
64490,45.3E,24,42.975,-0.616667
64490,45.3E,24,42.908333,-0.575
64490,45.3E,24,43.083333,-0.6
64490,45.3E,24,42.933333,-0.591667
64490,45.3E,24,42.908333,-0.575
64490,45.3E,24,43,-0.6
64490,45.3E,24,43,-0.533333
64490,45.3E,24,42.983333,-0.6
64490,49.32Z,24,42.875,-0.558333
64490,49.32Z,24,43.05,-0.6
64490,49.32Z,24,43,-0.616667
64490,49.32Z,24,42.933333,-0.591667
64490,49.32Z,24,42.975,-0.616667
64490,49.32Z,24,42.908333,-0.575
64490,49.32Z,24,43.083333,-0.6
64490,49.32Z,24,42.933333,-0.591667
64490,49.32Z,24,42.908333,-0.575
64490,49.32Z,24,43,-0.6
64490,49.32Z,24,43,-0.533333
64490,49.32Z,24,42.983333,-0.6
64490,55.60,48,42.875,-0.558333
64490,55.60,48,43.05,-0.6
64490,55.60,48,43,-0.616667
64490,55.60,48,42.933333,-0.591667
64490,55.60,48,42.975,-0.616667
64490,55.60,48,42.908333,-0.575
64490,55.60,48,43.083333,-0.6
64490,55.60,48,42.933333,-0.591667
64490,55.60,48,42.908333,-0.575
64490,55.60,48,43,-0.6
64490,55.60,48,43,-0.533333
64490,55.60,48,42.983333,-0.6
64490,49.01,24,42.875,-0.558333
64490,49.01,24,43.05,-0.6
64490,49.01,24,43,-0.616667
64490,49.01,24,42.933333,-0.591667
64490,49.01,24,42.975,-0.616667
64490,49.01,24,42.908333,-0.575
64490,49.01,24,43.083333,-0.6
64490,49.01,24,42.933333,-0.591667
64490,49.01,24,42.908333,-0.575
64490,49.01,24,43,-0.6
64490,49.01,24,43,-0.533333
64490,49.01,24,42.983333,-0.6
64490,46.49Z,24,42.875,-0.558333
64490,46.49Z,24,43.05,-0.6
64490,46.49Z,24,43,-0.616667
64490,46.49Z,24,42.933333,-0.591667
64490,46.49Z,24,42.975,-0.616667
64490,46.49Z,24,42.908333,-0.575
64490,46.49Z,24,43.083333,-0.6
64490,46.49Z,24,42.933333,-0.591667
64490,46.49Z,24,42.908333,-0.575
64490,46.49Z,24,43,-0.6
64490,46.49Z,24,43,-0.533333
64490,46.49Z,24,42.983333,-0.6
64490,01.47Z,48,42.875,-0.558333
64490,01.47Z,48,43.05,-0.6
64490,01.47Z,48,43,-0.616667
64490,01.47Z,48,42.933333,-0.591667
64490,01.47Z,48,42.975,-0.616667
64490,01.47Z,48,42.908333,-0.575
64490,01.47Z,48,43.083333,-0.6
64490,01.47Z,48,42.933333,-0.591667
64490,01.47Z,48,42.908333,-0.575
64490,01.47Z,48,43,-0.6
64490,01.47Z,48,43,-0.533333
64490,01.47Z,48,42.983333,-0.6
64490,43.34Z,12,42.875,-0.558333
64490,43.34Z,12,43.05,-0.6
64490,43.34Z,12,43,-0.616667
64490,43.34Z,12,42.933333,-0.591667
64490,43.34Z,12,42.975,-0.616667
64490,43.34Z,12,42.908333,-0.575
64490,43.34Z,12,43.083333,-0.6
64490,43.34Z,12,42.933333,-0.591667
64490,43.34Z,12,42.908333,-0.575
64490,43.34Z,12,43,-0.6
64490,43.34Z,12,43,-0.533333
64490,43.34Z,12,42.983333,-0.6
64490,93.19Z,24,42.875,-0.558333
64490,93.19Z,24,43.05,-0.6
64490,93.19Z,24,43,-0.616667
64490,93.19Z,24,42.933333,-0.591667
64490,93.19Z,24,42.975,-0.616667
64490,93.19Z,24,42.908333,-0.575
64490,93.19Z,24,43.083333,-0.6
64490,93.19Z,24,42.933333,-0.591667
64490,93.19Z,24,42.908333,-0.575
64490,93.19Z,24,43,-0.6
64490,93.19Z,24,43,-0.533333
64490,93.19Z,24,42.983333,-0.6
64490,64.20Z,12,42.875,-0.558333
64490,64.20Z,12,43.05,-0.6
64490,64.20Z,12,43,-0.616667
64490,64.20Z,12,42.933333,-0.591667
64490,64.20Z,12,42.975,-0.616667
64490,64.20Z,12,42.908333,-0.575
64490,64.20Z,12,43.083333,-0.6
64490,64.20Z,12,42.933333,-0.591667
64490,64.20Z,12,42.908333,-0.575
64490,64.20Z,12,43,-0.6
64490,64.20Z,12,43,-0.533333
64490,64.20Z,12,42.983333,-0.6
64490,90.01Z,24,42.875,-0.558333
64490,90.01Z,24,43.05,-0.6
64490,90.01Z,24,43,-0.616667
64490,90.01Z,24,42.933333,-0.591667
64490,90.01Z,24,42.975,-0.616667
64490,90.01Z,24,42.908333,-0.575
64490,90.01Z,24,43.083333,-0.6
64490,90.01Z,24,42.933333,-0.591667
64490,90.01Z,24,42.908333,-0.575
64490,90.01Z,24,43,-0.6
64490,90.01Z,24,43,-0.533333
64490,90.01Z,24,42.983333,-0.6
64490,86.90E,24,42.875,-0.558333
64490,86.90E,24,43.05,-0.6
64490,86.90E,24,43,-0.616667
64490,86.90E,24,42.933333,-0.591667
64490,86.90E,24,42.975,-0.616667
64490,86.90E,24,42.908333,-0.575
64490,86.90E,24,43.083333,-0.6
64490,86.90E,24,42.933333,-0.591667
64490,86.90E,24,42.908333,-0.575
64490,86.90E,24,43,-0.6
64490,86.90E,24,43,-0.533333
64490,86.90E,24,42.983333,-0.6
64490,01.43Z,12,42.875,-0.558333
64490,01.43Z,12,43.05,-0.6
64490,01.43Z,12,43,-0.616667
64490,01.43Z,12,42.933333,-0.591667
64490,01.43Z,12,42.975,-0.616667
64490,01.43Z,12,42.908333,-0.575
64490,01.43Z,12,43.083333,-0.6
64490,01.43Z,12,42.933333,-0.591667
64490,01.43Z,12,42.908333,-0.575
64490,01.43Z,12,43,-0.6
64490,01.43Z,12,43,-0.533333
64490,01.43Z,12,42.983333,-0.6
64490,29.3C,12,42.875,-0.558333
64490,29.3C,12,43.05,-0.6
64490,29.3C,12,43,-0.616667
64490,29.3C,12,42.933333,-0.591667
64490,29.3C,12,42.975,-0.616667
64490,29.3C,12,42.908333,-0.575
64490,29.3C,12,43.083333,-0.6
64490,29.3C,12,42.933333,-0.591667
64490,29.3C,12,42.908333,-0.575
64490,29.3C,12,43,-0.6
64490,29.3C,12,43,-0.533333
64490,29.3C,12,42.983333,-0.6
64490,47.75Z,12,42.875,-0.558333
64490,47.75Z,12,43.05,-0.6
64490,47.75Z,12,43,-0.616667
64490,47.75Z,12,42.933333,-0.591667
64490,47.75Z,12,42.975,-0.616667
64490,47.75Z,12,42.908333,-0.575
64490,47.75Z,12,43.083333,-0.6
64490,47.75Z,12,42.933333,-0.591667
64490,47.75Z,12,42.908333,-0.575
64490,47.75Z,12,43,-0.6
64490,47.75Z,12,43,-0.533333
64490,47.75Z,12,42.983333,-0.6
64490,56.10C,24,42.875,-0.558333
64490,56.10C,24,43.05,-0.6
64490,56.10C,24,43,-0.616667
64490,56.10C,24,42.933333,-0.591667
64490,56.10C,24,42.975,-0.616667
64490,56.10C,24,42.908333,-0.575
64490,56.10C,24,43.083333,-0.6
64490,56.10C,24,42.933333,-0.591667
64490,56.10C,24,42.908333,-0.575
64490,56.10C,24,43,-0.6
64490,56.10C,24,43,-0.533333
64490,56.10C,24,42.983333,-0.6
64490,74.90A,12,42.875,-0.558333
64490,74.90A,12,43.05,-0.6
64490,74.90A,12,43,-0.616667
64490,74.90A,12,42.933333,-0.591667
64490,74.90A,12,42.975,-0.616667
64490,74.90A,12,42.908333,-0.575
64490,74.90A,12,43.083333,-0.6
64490,74.90A,12,42.933333,-0.591667
64490,74.90A,12,42.908333,-0.575
64490,74.90A,12,43,-0.6
64490,74.90A,12,43,-0.533333
64490,74.90A,12,42.983333,-0.6
64490,43.91A,12,42.875,-0.558333
64490,43.91A,12,43.05,-0.6
64490,43.91A,12,43,-0.616667
64490,43.91A,12,42.933333,-0.591667
64490,43.91A,12,42.975,-0.616667
64490,43.91A,12,42.908333,-0.575
64490,43.91A,12,43.083333,-0.6
64490,43.91A,12,42.933333,-0.591667
64490,43.91A,12,42.908333,-0.575
64490,43.91A,12,43,-0.6
64490,43.91A,12,43,-0.533333
64490,43.91A,12,42.983333,-0.6
64490,82.11Z,12,42.875,-0.558333
64490,82.11Z,12,43.05,-0.6
64490,82.11Z,12,43,-0.616667
64490,82.11Z,12,42.933333,-0.591667
64490,82.11Z,12,42.975,-0.616667
64490,82.11Z,12,42.908333,-0.575
64490,82.11Z,12,43.083333,-0.6
64490,82.11Z,12,42.933333,-0.591667
64490,82.11Z,12,42.908333,-0.575
64490,82.11Z,12,43,-0.6
64490,82.11Z,12,43,-0.533333
64490,82.11Z,12,42.983333,-0.6
64490,46.44Z,12,42.875,-0.558333
64490,46.44Z,12,43.05,-0.6
64490,46.44Z,12,43,-0.616667
64490,46.44Z,12,42.933333,-0.591667
64490,46.44Z,12,42.975,-0.616667
64490,46.44Z,12,42.908333,-0.575
64490,46.44Z,12,43.083333,-0.6
64490,46.44Z,12,42.933333,-0.591667
64490,46.44Z,12,42.908333,-0.575
64490,46.44Z,12,43,-0.6
64490,46.44Z,12,43,-0.533333
64490,46.44Z,12,42.983333,-0.6
64490,49.05,12,42.875,-0.558333
64490,49.05,12,43.05,-0.6
64490,49.05,12,43,-0.616667
64490,49.05,12,42.933333,-0.591667
64490,49.05,12,42.975,-0.616667
64490,49.05,12,42.908333,-0.575
64490,49.05,12,43.083333,-0.6
64490,49.05,12,42.933333,-0.591667
64490,49.05,12,42.908333,-0.575
64490,49.05,12,43,-0.6
64490,49.05,12,43,-0.533333
64490,49.05,12,42.983333,-0.6
64490,84.11Z,36,42.875,-0.558333
64490,84.11Z,36,43.05,-0.6
64490,84.11Z,36,43,-0.616667
64490,84.11Z,36,42.933333,-0.591667
64490,84.11Z,36,42.975,-0.616667
64490,84.11Z,36,42.908333,-0.575
64490,84.11Z,36,43.083333,-0.6
64490,84.11Z,36,42.933333,-0.591667
64490,84.11Z,36,42.908333,-0.575
64490,84.11Z,36,43,-0.6
64490,84.11Z,36,43,-0.533333
64490,84.11Z,36,42.983333,-0.6
64490,43.22B,12,42.875,-0.558333
64490,43.22B,12,43.05,-0.6
64490,43.22B,12,43,-0.616667
64490,43.22B,12,42.933333,-0.591667
64490,43.22B,12,42.975,-0.616667
64490,43.22B,12,42.908333,-0.575
64490,43.22B,12,43.083333,-0.6
64490,43.22B,12,42.933333,-0.591667
64490,43.22B,12,42.908333,-0.575
64490,43.22B,12,43,-0.6
64490,43.22B,12,43,-0.533333
64490,43.22B,12,42.983333,-0.6
64490,93.12Z,12,42.875,-0.558333
64490,93.12Z,12,43.05,-0.6
64490,93.12Z,12,43,-0.616667
64490,93.12Z,12,42.933333,-0.591667
64490,93.12Z,12,42.975,-0.616667
64490,93.12Z,12,42.908333,-0.575
64490,93.12Z,12,43.083333,-0.6
64490,93.12Z,12,42.933333,-0.591667
64490,93.12Z,12,42.908333,-0.575
64490,93.12Z,12,43,-0.6
64490,93.12Z,12,43,-0.533333
64490,93.12Z,12,42.983333,-0.6
64490,43.32A,48,42.875,-0.558333
64490,43.32A,48,43.05,-0.6
64490,43.32A,48,43,-0.616667
64490,43.32A,48,42.933333,-0.591667
64490,43.32A,48,42.975,-0.616667
64490,43.32A,48,42.908333,-0.575
64490,43.32A,48,43.083333,-0.6
64490,43.32A,48,42.933333,-0.591667
64490,43.32A,48,42.908333,-0.575
64490,43.32A,48,43,-0.6
64490,43.32A,48,43,-0.533333
64490,43.32A,48,42.983333,-0.6
64490,67.09,12,42.875,-0.558333
64490,67.09,12,43.05,-0.6
64490,67.09,12,43,-0.616667
64490,67.09,12,42.933333,-0.591667
64490,67.09,12,42.975,-0.616667
64490,67.09,12,42.908333,-0.575
64490,67.09,12,43.083333,-0.6
64490,67.09,12,42.933333,-0.591667
64490,67.09,12,42.908333,-0.575
64490,67.09,12,43,-0.6
64490,67.09,12,43,-0.533333
64490,67.09,12,42.983333,-0.6
64490,36.1G,24,42.875,-0.558333
64490,36.1G,24,43.05,-0.6
64490,36.1G,24,43,-0.616667
64490,36.1G,24,42.933333,-0.591667
64490,36.1G,24,42.975,-0.616667
64490,36.1G,24,42.908333,-0.575
64490,36.1G,24,43.083333,-0.6
64490,36.1G,24,42.933333,-0.591667
64490,36.1G,24,42.908333,-0.575
64490,36.1G,24,43,-0.6
64490,36.1G,24,43,-0.533333
64490,36.1G,24,42.983333,-0.6
64490,46.41Z,12,42.875,-0.558333
64490,46.41Z,12,43.05,-0.6
64490,46.41Z,12,43,-0.616667
64490,46.41Z,12,42.933333,-0.591667
64490,46.41Z,12,42.975,-0.616667
64490,46.41Z,12,42.908333,-0.575
64490,46.41Z,12,43.083333,-0.6
64490,46.41Z,12,42.933333,-0.591667
64490,46.41Z,12,42.908333,-0.575
64490,46.41Z,12,43,-0.6
64490,46.41Z,12,43,-0.533333
64490,46.41Z,12,42.983333,-0.6
64490,55.4B,48,42.875,-0.558333
64490,55.4B,48,43.05,-0.6
64490,55.4B,48,43,-0.616667
64490,55.4B,48,42.933333,-0.591667
64490,55.4B,48,42.975,-0.616667
64490,55.4B,48,42.908333,-0.575
64490,55.4B,48,43.083333,-0.6
64490,55.4B,48,42.933333,-0.591667
64490,55.4B,48,42.908333,-0.575
64490,55.4B,48,43,-0.6
64490,55.4B,48,43,-0.533333
64490,55.4B,48,42.983333,-0.6
64490,22.2J,12,42.875,-0.558333
64490,22.2J,12,43.05,-0.6
64490,22.2J,12,43,-0.616667
64490,22.2J,12,42.933333,-0.591667
64490,22.2J,12,42.975,-0.616667
64490,22.2J,12,42.908333,-0.575
64490,22.2J,12,43.083333,-0.6
64490,22.2J,12,42.933333,-0.591667
64490,22.2J,12,42.908333,-0.575
64490,22.2J,12,43,-0.6
64490,22.2J,12,43,-0.533333
64490,22.2J,12,42.983333,-0.6
64490,46.17B,12,42.875,-0.558333
64490,46.17B,12,43.05,-0.6
64490,46.17B,12,43,-0.616667
64490,46.17B,12,42.933333,-0.591667
64490,46.17B,12,42.975,-0.616667
64490,46.17B,12,42.908333,-0.575
64490,46.17B,12,43.083333,-0.6
64490,46.17B,12,42.933333,-0.591667
64490,46.17B,12,42.908333,-0.575
64490,46.17B,12,43,-0.6
64490,46.17B,12,43,-0.533333
64490,46.17B,12,42.983333,-0.6
64490,52.6E,24,42.875,-0.558333
64490,52.6E,24,43.05,-0.6
64490,52.6E,24,43,-0.616667
64490,52.6E,24,42.933333,-0.591667
64490,52.6E,24,42.975,-0.616667
64490,52.6E,24,42.908333,-0.575
64490,52.6E,24,43.083333,-0.6
64490,52.6E,24,42.933333,-0.591667
64490,52.6E,24,42.908333,-0.575
64490,52.6E,24,43,-0.6
64490,52.6E,24,43,-0.533333
64490,52.6E,24,42.983333,-0.6
64490,43.33Z,12,42.875,-0.558333
64490,43.33Z,12,43.05,-0.6
64490,43.33Z,12,43,-0.616667
64490,43.33Z,12,42.933333,-0.591667
64490,43.33Z,12,42.975,-0.616667
64490,43.33Z,12,42.908333,-0.575
64490,43.33Z,12,43.083333,-0.6
64490,43.33Z,12,42.933333,-0.591667
64490,43.33Z,12,42.908333,-0.575
64490,43.33Z,12,43,-0.6
64490,43.33Z,12,43,-0.533333
64490,43.33Z,12,42.983333,-0.6
64490,47.22Z,12,42.875,-0.558333
64490,47.22Z,12,43.05,-0.6
64490,47.22Z,12,43,-0.616667
64490,47.22Z,12,42.933333,-0.591667
64490,47.22Z,12,42.975,-0.616667
64490,47.22Z,12,42.908333,-0.575
64490,47.22Z,12,43.083333,-0.6
64490,47.22Z,12,42.933333,-0.591667
64490,47.22Z,12,42.908333,-0.575
64490,47.22Z,12,43,-0.6
64490,47.22Z,12,43,-0.533333
64490,47.22Z,12,42.983333,-0.6
64490,74.20Z,12,42.875,-0.558333
64490,74.20Z,12,43.05,-0.6
64490,74.20Z,12,43,-0.616667
64490,74.20Z,12,42.933333,-0.591667
64490,74.20Z,12,42.975,-0.616667
64490,74.20Z,12,42.908333,-0.575
64490,74.20Z,12,43.083333,-0.6
64490,74.20Z,12,42.933333,-0.591667
64490,74.20Z,12,42.908333,-0.575
64490,74.20Z,12,43,-0.6
64490,74.20Z,12,43,-0.533333
64490,74.20Z,12,42.983333,-0.6
64490,86.90D,72,42.875,-0.558333
64490,86.90D,72,43.05,-0.6
64490,86.90D,72,43,-0.616667
64490,86.90D,72,42.933333,-0.591667
64490,86.90D,72,42.975,-0.616667
64490,86.90D,72,42.908333,-0.575
64490,86.90D,72,43.083333,-0.6
