codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
50500,47.99A,48,49.316667,-1.333333
50500,47.99A,48,49.3,-1.35
50500,47.99A,48,49.3,-1.183333
50500,47.99A,48,49.3,-1.233333
50500,47.99A,48,49.25,-1.25
50500,47.99A,48,49.233333,-1.316667
50500,47.99A,48,49.333333,-1.266667
50500,47.99A,48,49.233333,-1.25
50500,47.99A,48,49.216667,-1.35
50500,47.99A,48,49.283333,-1.3
50500,47.99A,48,49.316667,-1.15
50500,47.99A,48,49.316667,-1.183333
50500,47.99A,48,49.3,-1.233333
50500,47.99A,48,49.333333,-1.183333
50500,47.99A,48,49.216667,-1.283333
50500,47.99A,48,49.3,-1.316667
50500,55.3A,16,49.316667,-1.333333
50500,55.3A,16,49.3,-1.35
50500,55.3A,16,49.3,-1.183333
50500,55.3A,16,49.3,-1.233333
50500,55.3A,16,49.25,-1.25
50500,55.3A,16,49.233333,-1.316667
50500,55.3A,16,49.333333,-1.266667
50500,55.3A,16,49.233333,-1.25
50500,55.3A,16,49.216667,-1.35
50500,55.3A,16,49.283333,-1.3
50500,55.3A,16,49.316667,-1.15
50500,55.3A,16,49.316667,-1.183333
50500,55.3A,16,49.3,-1.233333
50500,55.3A,16,49.333333,-1.183333
50500,55.3A,16,49.216667,-1.283333
50500,55.3A,16,49.3,-1.316667
50500,43.22A,16,49.316667,-1.333333
50500,43.22A,16,49.3,-1.35
50500,43.22A,16,49.3,-1.183333
50500,43.22A,16,49.3,-1.233333
50500,43.22A,16,49.25,-1.25
50500,43.22A,16,49.233333,-1.316667
50500,43.22A,16,49.333333,-1.266667
50500,43.22A,16,49.233333,-1.25
50500,43.22A,16,49.216667,-1.35
50500,43.22A,16,49.283333,-1.3
50500,43.22A,16,49.316667,-1.15
50500,43.22A,16,49.316667,-1.183333
50500,43.22A,16,49.3,-1.233333
50500,43.22A,16,49.333333,-1.183333
50500,43.22A,16,49.216667,-1.283333
50500,43.22A,16,49.3,-1.316667
50500,01.1F,64,49.316667,-1.333333
50500,01.1F,64,49.3,-1.35
50500,01.1F,64,49.3,-1.183333
50500,01.1F,64,49.3,-1.233333
50500,01.1F,64,49.25,-1.25
50500,01.1F,64,49.233333,-1.316667
50500,01.1F,64,49.333333,-1.266667
50500,01.1F,64,49.233333,-1.25
50500,01.1F,64,49.216667,-1.35
50500,01.1F,64,49.283333,-1.3
50500,01.1F,64,49.316667,-1.15
50500,01.1F,64,49.316667,-1.183333
50500,01.1F,64,49.3,-1.233333
50500,01.1F,64,49.333333,-1.183333
50500,01.1F,64,49.216667,-1.283333
50500,01.1F,64,49.3,-1.316667
50500,01.11Z,144,49.316667,-1.333333
50500,01.11Z,144,49.3,-1.35
50500,01.11Z,144,49.3,-1.183333
50500,01.11Z,144,49.3,-1.233333
50500,01.11Z,144,49.25,-1.25
50500,01.11Z,144,49.233333,-1.316667
50500,01.11Z,144,49.333333,-1.266667
50500,01.11Z,144,49.233333,-1.25
50500,01.11Z,144,49.216667,-1.35
50500,01.11Z,144,49.283333,-1.3
50500,01.11Z,144,49.316667,-1.15
50500,01.11Z,144,49.316667,-1.183333
50500,01.11Z,144,49.3,-1.233333
50500,01.11Z,144,49.333333,-1.183333
50500,01.11Z,144,49.216667,-1.283333
50500,01.11Z,144,49.3,-1.316667
50500,46.23Z,32,49.316667,-1.333333
50500,46.23Z,32,49.3,-1.35
50500,46.23Z,32,49.3,-1.183333
50500,46.23Z,32,49.3,-1.233333
50500,46.23Z,32,49.25,-1.25
50500,46.23Z,32,49.233333,-1.316667
50500,46.23Z,32,49.333333,-1.266667
50500,46.23Z,32,49.233333,-1.25
50500,46.23Z,32,49.216667,-1.35
50500,46.23Z,32,49.283333,-1.3
50500,46.23Z,32,49.316667,-1.15
50500,46.23Z,32,49.316667,-1.183333
50500,46.23Z,32,49.3,-1.233333
50500,46.23Z,32,49.333333,-1.183333
50500,46.23Z,32,49.216667,-1.283333
50500,46.23Z,32,49.3,-1.316667
50500,68.20A,16,49.316667,-1.333333
50500,68.20A,16,49.3,-1.35
50500,68.20A,16,49.3,-1.183333
50500,68.20A,16,49.3,-1.233333
50500,68.20A,16,49.25,-1.25
50500,68.20A,16,49.233333,-1.316667
50500,68.20A,16,49.333333,-1.266667
50500,68.20A,16,49.233333,-1.25
50500,68.20A,16,49.216667,-1.35
50500,68.20A,16,49.283333,-1.3
50500,68.20A,16,49.316667,-1.15
50500,68.20A,16,49.316667,-1.183333
50500,68.20A,16,49.3,-1.233333
50500,68.20A,16,49.333333,-1.183333
50500,68.20A,16,49.216667,-1.283333
50500,68.20A,16,49.3,-1.316667
50500,55.60,16,49.316667,-1.333333
50500,55.60,16,49.3,-1.35
50500,55.60,16,49.3,-1.183333
50500,55.60,16,49.3,-1.233333
50500,55.60,16,49.25,-1.25
50500,55.60,16,49.233333,-1.316667
50500,55.60,16,49.333333,-1.266667
50500,55.60,16,49.233333,-1.25
50500,55.60,16,49.216667,-1.35
50500,55.60,16,49.283333,-1.3
50500,55.60,16,49.316667,-1.15
50500,55.60,16,49.316667,-1.183333
50500,55.60,16,49.3,-1.233333
50500,55.60,16,49.333333,-1.183333
50500,55.60,16,49.216667,-1.283333
50500,55.60,16,49.3,-1.316667
50500,45.2J,16,49.316667,-1.333333
50500,45.2J,16,49.3,-1.35
50500,45.2J,16,49.3,-1.183333
50500,45.2J,16,49.3,-1.233333
50500,45.2J,16,49.25,-1.25
50500,45.2J,16,49.233333,-1.316667
50500,45.2J,16,49.333333,-1.266667
50500,45.2J,16,49.233333,-1.25
50500,45.2J,16,49.216667,-1.35
50500,45.2J,16,49.283333,-1.3
50500,45.2J,16,49.316667,-1.15
50500,45.2J,16,49.316667,-1.183333
50500,45.2J,16,49.3,-1.233333
50500,45.2J,16,49.333333,-1.183333
50500,45.2J,16,49.216667,-1.283333
50500,45.2J,16,49.3,-1.316667
50500,56.30Z,32,49.316667,-1.333333
50500,56.30Z,32,49.3,-1.35
50500,56.30Z,32,49.3,-1.183333
50500,56.30Z,32,49.3,-1.233333
50500,56.30Z,32,49.25,-1.25
50500,56.30Z,32,49.233333,-1.316667
50500,56.30Z,32,49.333333,-1.266667
50500,56.30Z,32,49.233333,-1.25
50500,56.30Z,32,49.216667,-1.35
50500,56.30Z,32,49.283333,-1.3
50500,56.30Z,32,49.316667,-1.15
50500,56.30Z,32,49.316667,-1.183333
50500,56.30Z,32,49.3,-1.233333
50500,56.30Z,32,49.333333,-1.183333
50500,56.30Z,32,49.216667,-1.283333
50500,56.30Z,32,49.3,-1.316667
50500,01.47Z,32,49.316667,-1.333333
50500,01.47Z,32,49.3,-1.35
50500,01.47Z,32,49.3,-1.183333
50500,01.47Z,32,49.3,-1.233333
50500,01.47Z,32,49.25,-1.25
50500,01.47Z,32,49.233333,-1.316667
50500,01.47Z,32,49.333333,-1.266667
50500,01.47Z,32,49.233333,-1.25
50500,01.47Z,32,49.216667,-1.35
50500,01.47Z,32,49.283333,-1.3
50500,01.47Z,32,49.316667,-1.15
50500,01.47Z,32,49.316667,-1.183333
50500,01.47Z,32,49.3,-1.233333
50500,01.47Z,32,49.333333,-1.183333
50500,01.47Z,32,49.216667,-1.283333
50500,01.47Z,32,49.3,-1.316667
50500,86.90E,16,49.316667,-1.333333
50500,86.90E,16,49.3,-1.35
50500,86.90E,16,49.3,-1.183333
50500,86.90E,16,49.3,-1.233333
50500,86.90E,16,49.25,-1.25
50500,86.90E,16,49.233333,-1.316667
50500,86.90E,16,49.333333,-1.266667
50500,86.90E,16,49.233333,-1.25
50500,86.90E,16,49.216667,-1.35
50500,86.90E,16,49.283333,-1.3
50500,86.90E,16,49.316667,-1.15
50500,86.90E,16,49.316667,-1.183333
50500,86.90E,16,49.3,-1.233333
50500,86.90E,16,49.333333,-1.183333
50500,86.90E,16,49.216667,-1.283333
50500,86.90E,16,49.3,-1.316667
50500,01.43Z,16,49.316667,-1.333333
50500,01.43Z,16,49.3,-1.35
50500,01.43Z,16,49.3,-1.183333
50500,01.43Z,16,49.3,-1.233333
50500,01.43Z,16,49.25,-1.25
50500,01.43Z,16,49.233333,-1.316667
50500,01.43Z,16,49.333333,-1.266667
50500,01.43Z,16,49.233333,-1.25
50500,01.43Z,16,49.216667,-1.35
50500,01.43Z,16,49.283333,-1.3
50500,01.43Z,16,49.316667,-1.15
50500,01.43Z,16,49.316667,-1.183333
50500,01.43Z,16,49.3,-1.233333
50500,01.43Z,16,49.333333,-1.183333
50500,01.43Z,16,49.216667,-1.283333
50500,01.43Z,16,49.3,-1.316667
50500,47.82Z,48,49.316667,-1.333333
50500,47.82Z,48,49.3,-1.35
50500,47.82Z,48,49.3,-1.183333
50500,47.82Z,48,49.3,-1.233333
50500,47.82Z,48,49.25,-1.25
50500,47.82Z,48,49.233333,-1.316667
50500,47.82Z,48,49.333333,-1.266667
50500,47.82Z,48,49.233333,-1.25
50500,47.82Z,48,49.216667,-1.35
50500,47.82Z,48,49.283333,-1.3
50500,47.82Z,48,49.316667,-1.15
50500,47.82Z,48,49.316667,-1.183333
50500,47.82Z,48,49.3,-1.233333
50500,47.82Z,48,49.333333,-1.183333
50500,47.82Z,48,49.216667,-1.283333
50500,47.82Z,48,49.3,-1.316667
50500,56.10C,16,49.316667,-1.333333
50500,56.10C,16,49.3,-1.35
50500,56.10C,16,49.3,-1.183333
50500,56.10C,16,49.3,-1.233333
50500,56.10C,16,49.25,-1.25
50500,56.10C,16,49.233333,-1.316667
50500,56.10C,16,49.333333,-1.266667
50500,56.10C,16,49.233333,-1.25
50500,56.10C,16,49.216667,-1.35
50500,56.10C,16,49.283333,-1.3
50500,56.10C,16,49.316667,-1.15
50500,56.10C,16,49.316667,-1.183333
50500,56.10C,16,49.3,-1.233333
50500,56.10C,16,49.333333,-1.183333
50500,56.10C,16,49.216667,-1.283333
50500,56.10C,16,49.3,-1.316667
50500,82.11Z,16,49.316667,-1.333333
50500,82.11Z,16,49.3,-1.35
50500,82.11Z,16,49.3,-1.183333
50500,82.11Z,16,49.3,-1.233333
50500,82.11Z,16,49.25,-1.25
50500,82.11Z,16,49.233333,-1.316667
50500,82.11Z,16,49.333333,-1.266667
50500,82.11Z,16,49.233333,-1.25
50500,82.11Z,16,49.216667,-1.35
50500,82.11Z,16,49.283333,-1.3
50500,82.11Z,16,49.316667,-1.15
50500,82.11Z,16,49.316667,-1.183333
50500,82.11Z,16,49.3,-1.233333
50500,82.11Z,16,49.333333,-1.183333
50500,82.11Z,16,49.216667,-1.283333
50500,82.11Z,16,49.3,-1.316667
50500,20.16Z,16,49.316667,-1.333333
50500,20.16Z,16,49.3,-1.35
50500,20.16Z,16,49.3,-1.183333
50500,20.16Z,16,49.3,-1.233333
50500,20.16Z,16,49.25,-1.25
50500,20.16Z,16,49.233333,-1.316667
50500,20.16Z,16,49.333333,-1.266667
50500,20.16Z,16,49.233333,-1.25
50500,20.16Z,16,49.216667,-1.35
50500,20.16Z,16,49.283333,-1.3
50500,20.16Z,16,49.316667,-1.15
50500,20.16Z,16,49.316667,-1.183333
50500,20.16Z,16,49.3,-1.233333
50500,20.16Z,16,49.333333,-1.183333
50500,20.16Z,16,49.216667,-1.283333
50500,20.16Z,16,49.3,-1.316667
50500,81.30Z,32,49.316667,-1.333333
50500,81.30Z,32,49.3,-1.35
