codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
03220,47.99A,36,46.45,3.633333
03220,47.99A,36,46.316667,3.633333
03220,47.99A,36,46.333333,3.6
03220,47.99A,36,46.366667,3.533333
03220,47.99A,36,46.4,3.566667
03220,47.99A,36,46.366667,3.666667
03220,47.99A,36,46.4,3.516667
03220,47.99A,36,46.4,3.683333
03220,47.99A,36,"",""
03220,47.99A,36,46.316667,3.566667
03220,47.99A,36,46.35,3.6
03220,47.99A,36,46.383333,3.65
03220,64.11,12,46.45,3.633333
03220,64.11,12,46.316667,3.633333
03220,64.11,12,46.333333,3.6
03220,64.11,12,46.366667,3.533333
03220,64.11,12,46.4,3.566667
03220,64.11,12,46.366667,3.666667
03220,64.11,12,46.4,3.516667
03220,64.11,12,46.4,3.683333
03220,64.11,12,"",""
03220,64.11,12,46.316667,3.566667
03220,64.11,12,46.35,3.6
03220,64.11,12,46.383333,3.65
03220,55.3A,12,46.45,3.633333
03220,55.3A,12,46.316667,3.633333
03220,55.3A,12,46.333333,3.6
03220,55.3A,12,46.366667,3.533333
03220,55.3A,12,46.4,3.566667
03220,55.3A,12,46.366667,3.666667
03220,55.3A,12,46.4,3.516667
03220,55.3A,12,46.4,3.683333
03220,55.3A,12,"",""
03220,55.3A,12,46.316667,3.566667
03220,55.3A,12,46.35,3.6
03220,55.3A,12,46.383333,3.65
03220,01.11Z,276,46.45,3.633333
03220,01.11Z,276,46.316667,3.633333
03220,01.11Z,276,46.333333,3.6
03220,01.11Z,276,46.366667,3.533333
03220,01.11Z,276,46.4,3.566667
03220,01.11Z,276,46.366667,3.666667
03220,01.11Z,276,46.4,3.516667
03220,01.11Z,276,46.4,3.683333
03220,01.11Z,276,"",""
03220,01.11Z,276,46.316667,3.566667
03220,01.11Z,276,46.35,3.6
03220,01.11Z,276,46.383333,3.65
03220,24.3Z,12,46.45,3.633333
03220,24.3Z,12,46.316667,3.633333
03220,24.3Z,12,46.333333,3.6
03220,24.3Z,12,46.366667,3.533333
03220,24.3Z,12,46.4,3.566667
03220,24.3Z,12,46.366667,3.666667
03220,24.3Z,12,46.4,3.516667
03220,24.3Z,12,46.4,3.683333
03220,24.3Z,12,"",""
03220,24.3Z,12,46.316667,3.566667
03220,24.3Z,12,46.35,3.6
03220,24.3Z,12,46.383333,3.65
03220,65.02,12,46.45,3.633333
03220,65.02,12,46.316667,3.633333
03220,65.02,12,46.333333,3.6
03220,65.02,12,46.366667,3.533333
03220,65.02,12,46.4,3.566667
03220,65.02,12,46.366667,3.666667
03220,65.02,12,46.4,3.516667
03220,65.02,12,46.4,3.683333
03220,65.02,12,"",""
03220,65.02,12,46.316667,3.566667
03220,65.02,12,46.35,3.6
03220,65.02,12,46.383333,3.65
03220,49.41A,12,46.45,3.633333
03220,49.41A,12,46.316667,3.633333
03220,49.41A,12,46.333333,3.6
03220,49.41A,12,46.366667,3.533333
03220,49.41A,12,46.4,3.566667
03220,49.41A,12,46.366667,3.666667
03220,49.41A,12,46.4,3.516667
03220,49.41A,12,46.4,3.683333
03220,49.41A,12,"",""
03220,49.41A,12,46.316667,3.566667
03220,49.41A,12,46.35,3.6
03220,49.41A,12,46.383333,3.65
03220,55.40,12,46.45,3.633333
03220,55.40,12,46.316667,3.633333
03220,55.40,12,46.333333,3.6
03220,55.40,12,46.366667,3.533333
03220,55.40,12,46.4,3.566667
03220,55.40,12,46.366667,3.666667
03220,55.40,12,46.4,3.516667
03220,55.40,12,46.4,3.683333
03220,55.40,12,"",""
03220,55.40,12,46.316667,3.566667
03220,55.40,12,46.35,3.6
03220,55.40,12,46.383333,3.65
03220,55.60,24,46.45,3.633333
03220,55.60,24,46.316667,3.633333
03220,55.60,24,46.333333,3.6
03220,55.60,24,46.366667,3.533333
03220,55.60,24,46.4,3.566667
03220,55.60,24,46.366667,3.666667
03220,55.60,24,46.4,3.516667
03220,55.60,24,46.4,3.683333
03220,55.60,24,"",""
03220,55.60,24,46.316667,3.566667
03220,55.60,24,46.35,3.6
03220,55.60,24,46.383333,3.65
03220,56.30Z,12,46.45,3.633333
03220,56.30Z,12,46.316667,3.633333
03220,56.30Z,12,46.333333,3.6
03220,56.30Z,12,46.366667,3.533333
03220,56.30Z,12,46.4,3.566667
03220,56.30Z,12,46.366667,3.666667
03220,56.30Z,12,46.4,3.516667
03220,56.30Z,12,46.4,3.683333
03220,56.30Z,12,"",""
03220,56.30Z,12,46.316667,3.566667
03220,56.30Z,12,46.35,3.6
03220,56.30Z,12,46.383333,3.65
03220,95.11Z,12,46.45,3.633333
03220,95.11Z,12,46.316667,3.633333
03220,95.11Z,12,46.333333,3.6
03220,95.11Z,12,46.366667,3.533333
03220,95.11Z,12,46.4,3.566667
03220,95.11Z,12,46.366667,3.666667
03220,95.11Z,12,46.4,3.516667
03220,95.11Z,12,46.4,3.683333
03220,95.11Z,12,"",""
03220,95.11Z,12,46.316667,3.566667
03220,95.11Z,12,46.35,3.6
03220,95.11Z,12,46.383333,3.65
03220,62.11,24,46.45,3.633333
03220,62.11,24,46.316667,3.633333
03220,62.11,24,46.333333,3.6
03220,62.11,24,46.366667,3.533333
03220,62.11,24,46.4,3.566667
03220,62.11,24,46.366667,3.666667
03220,62.11,24,46.4,3.516667
03220,62.11,24,46.4,3.683333
03220,62.11,24,"",""
03220,62.11,24,46.316667,3.566667
03220,62.11,24,46.35,3.6
03220,62.11,24,46.383333,3.65
03220,43.34Z,24,46.45,3.633333
03220,43.34Z,24,46.316667,3.633333
03220,43.34Z,24,46.333333,3.6
03220,43.34Z,24,46.366667,3.533333
03220,43.34Z,24,46.4,3.566667
03220,43.34Z,24,46.366667,3.666667
03220,43.34Z,24,46.4,3.516667
03220,43.34Z,24,46.4,3.683333
03220,43.34Z,24,"",""
03220,43.34Z,24,46.316667,3.566667
03220,43.34Z,24,46.35,3.6
03220,43.34Z,24,46.383333,3.65
03220,64.20Z,12,46.45,3.633333
03220,64.20Z,12,46.316667,3.633333
03220,64.20Z,12,46.333333,3.6
03220,64.20Z,12,46.366667,3.533333
03220,64.20Z,12,46.4,3.566667
03220,64.20Z,12,46.366667,3.666667
03220,64.20Z,12,46.4,3.516667
03220,64.20Z,12,46.4,3.683333
03220,64.20Z,12,"",""
03220,64.20Z,12,46.316667,3.566667
03220,64.20Z,12,46.35,3.6
03220,64.20Z,12,46.383333,3.65
03220,90.01Z,24,46.45,3.633333
03220,90.01Z,24,46.316667,3.633333
03220,90.01Z,24,46.333333,3.6
03220,90.01Z,24,46.366667,3.533333
03220,90.01Z,24,46.4,3.566667
03220,90.01Z,24,46.366667,3.666667
03220,90.01Z,24,46.4,3.516667
03220,90.01Z,24,46.4,3.683333
03220,90.01Z,24,"",""
03220,90.01Z,24,46.316667,3.566667
03220,90.01Z,24,46.35,3.6
03220,90.01Z,24,46.383333,3.65
03220,01.43Z,12,46.45,3.633333
03220,01.43Z,12,46.316667,3.633333
03220,01.43Z,12,46.333333,3.6
03220,01.43Z,12,46.366667,3.533333
03220,01.43Z,12,46.4,3.566667
03220,01.43Z,12,46.366667,3.666667
03220,01.43Z,12,46.4,3.516667
03220,01.43Z,12,46.4,3.683333
03220,01.43Z,12,"",""
03220,01.43Z,12,46.316667,3.566667
03220,01.43Z,12,46.35,3.6
03220,01.43Z,12,46.383333,3.65
03220,43.32B,12,46.45,3.633333
03220,43.32B,12,46.316667,3.633333
03220,43.32B,12,46.333333,3.6
03220,43.32B,12,46.366667,3.533333
03220,43.32B,12,46.4,3.566667
03220,43.32B,12,46.366667,3.666667
03220,43.32B,12,46.4,3.516667
03220,43.32B,12,46.4,3.683333
03220,43.32B,12,"",""
03220,43.32B,12,46.316667,3.566667
03220,43.32B,12,46.35,3.6
03220,43.32B,12,46.383333,3.65
03220,56.10C,12,46.45,3.633333
03220,56.10C,12,46.316667,3.633333
03220,56.10C,12,46.333333,3.6
03220,56.10C,12,46.366667,3.533333
03220,56.10C,12,46.4,3.566667
03220,56.10C,12,46.366667,3.666667
03220,56.10C,12,46.4,3.516667
03220,56.10C,12,46.4,3.683333
03220,56.10C,12,"",""
03220,56.10C,12,46.316667,3.566667
03220,56.10C,12,46.35,3.6
03220,56.10C,12,46.383333,3.65
03220,64.41,12,46.45,3.633333
03220,64.41,12,46.316667,3.633333
03220,64.41,12,46.333333,3.6
03220,64.41,12,46.366667,3.533333
03220,64.41,12,46.4,3.566667
03220,64.41,12,46.366667,3.666667
03220,64.41,12,46.4,3.516667
03220,64.41,12,46.4,3.683333
03220,64.41,12,"",""
03220,64.41,12,46.316667,3.566667
03220,64.41,12,46.35,3.6
03220,64.41,12,46.383333,3.65
03220,81.30Z,12,46.45,3.633333
03220,81.30Z,12,46.316667,3.633333
03220,81.30Z,12,46.333333,3.6
03220,81.30Z,12,46.366667,3.533333
03220,81.30Z,12,46.4,3.566667
03220,81.30Z,12,46.366667,3.666667
03220,81.30Z,12,46.4,3.516667
03220,81.30Z,12,46.4,3.683333
03220,81.30Z,12,"",""
03220,81.30Z,12,46.316667,3.566667
03220,81.30Z,12,46.35,3.6
03220,81.30Z,12,46.383333,3.65
03220,43.99B,12,46.45,3.633333
03220,43.99B,12,46.316667,3.633333
03220,43.99B,12,46.333333,3.6
03220,43.99B,12,46.366667,3.533333
03220,43.99B,12,46.4,3.566667
03220,43.99B,12,46.366667,3.666667
03220,43.99B,12,46.4,3.516667
03220,43.99B,12,46.4,3.683333
03220,43.99B,12,"",""
03220,43.99B,12,46.316667,3.566667
03220,43.99B,12,46.35,3.6
03220,43.99B,12,46.383333,3.65
03220,84.11Z,60,46.45,3.633333
03220,84.11Z,60,46.316667,3.633333
03220,84.11Z,60,46.333333,3.6
03220,84.11Z,60,46.366667,3.533333
03220,84.11Z,60,46.4,3.566667
03220,84.11Z,60,46.366667,3.666667
03220,84.11Z,60,46.4,3.516667
03220,84.11Z,60,46.4,3.683333
03220,84.11Z,60,"",""
03220,84.11Z,60,46.316667,3.566667
03220,84.11Z,60,46.35,3.6
03220,84.11Z,60,46.383333,3.65
03220,29.3D,12,46.45,3.633333
03220,29.3D,12,46.316667,3.633333
03220,29.3D,12,46.333333,3.6
03220,29.3D,12,46.366667,3.533333
03220,29.3D,12,46.4,3.566667
03220,29.3D,12,46.366667,3.666667
03220,29.3D,12,46.4,3.516667
03220,29.3D,12,46.4,3.683333
03220,29.3D,12,"",""
